OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
5177,SN-10-1000-1290974,ARCHERFIELD,BONIFACE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZR,Right,0,1,0,"2 MIN MAX,20 MINS MAX","MON-FRI:6am-6pm ,SAT:6am-12noon",000000000100321079,IE000000000100321079,45,c0c8f0b6-b36b-4eb5-ae56-d68268f0c6ef,"{""coordinates"": [153.01978467735597, -27.56393329634497], ""type"": ""Point""}","-27.56393329634497, 153.01978467735597","A, ARCHERFIELD",-27.56393329634497,153.01978467735597,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5197,SN-10-1000-1184847,BRISBANE CITY,MARGARET STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45Z2L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:10am-3:30pm,000000000100321520,IE000000000100321520,45,6c17a8d9-0533-4629-b624-b80e56200657,"{""coordinates"": [153.02725585867182, -27.47335090264775], ""type"": ""Point""}","-27.47335090264775, 153.02725585867182","B, BRISBANE CITY",-27.47335090264775,153.02725585867182,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5211,SN-10-1000-1183394,BRISBANE CITY,ADELAIDE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100321833,IE000000000100321833,45,c9e96c00-57dd-410a-a5d9-657553720cdc,"{""coordinates"": [153.02947235492442, -27.465111306412588], ""type"": ""Point""}","-27.465111306412588, 153.02947235492442","B, BRISBANE CITY",-27.465111306412588,153.02947235492442,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5274,SN-10-1000-1192029,MILTON,CROMBIE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43TR,Right,0,1,1,2 MIN MAX,MON-FRI:7am-7pm,000000000100323166,IE000000000100323166,43,cbcce835-4a89-477a-b663-2875f1500aa7,"{""coordinates"": [153.00710867565945, -27.469212906232773], ""type"": ""Point""}","-27.469212906232773, 153.00710867565945","M, MILTON",-27.469212906232773,153.00710867565945,Loading Zone Passengers 2 Min. Max
5286,SN-10-1000-1022050,ST LUCIA,HAWKEN DRIVE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100323413,IE000000000100323413,45,441a5da4-a968-4cbf-8a06-d85cab5eeabf,"{""coordinates"": [153.00612020059552, -27.502172135159473], ""type"": ""Point""}","-27.502172135159473, 153.00612020059552","S, ST LUCIA",-27.502172135159473,153.00612020059552,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5321,SN-10-1000-1219928,FORTITUDE VALLEY,LIGHT STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZL,Left,0,1,1,2 MIN MAX,"MON-FRI:9am-5:30pm ,SAT:8am-12noon",000000000100324189,IE000000000100324189,43,96e07a44-167c-4773-b192-97cd453816d2,"{""coordinates"": [153.03823108292352, -27.451137155576557], ""type"": ""Point""}","-27.451137155576557, 153.03823108292352","F, FORTITUDE VALLEY",-27.451137155576557,153.03823108292352,Loading Zone Passengers 2 Min. Max
5376,SN-20-2000-2584790,BRACKEN RIDGE,PRITCHARD PLACE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYD,Bi-Directional,0,1,0,2 MIN MAX,"null:7 AM-9 AM ,SCHOOL DAYS:2 PM-4 PM",000000000100443578,IE000000000100443578,43,037a8d67-07d4-4581-b401-20cb5da7c072,"{""coordinates"": [153.0253835630884, -27.318169570891456], ""type"": ""Point""}","-27.318169570891456, 153.0253835630884","B, BRACKEN RIDGE",-27.318169570891456,153.0253835630884,Loading Zone Passengers 2 Min. Max
5383,SN-20-2000-2415268,NEWSTEAD,FESTIVAL PLACE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,0,2 MIN MAX,,000000000100431705,IE000000000100431705,43,a7e36e82-7c37-42e1-84ee-51f474635df7,"{""coordinates"": [153.04598557420914, -27.45131159022988], ""type"": ""Point""}","-27.45131159022988, 153.04598557420914","N, NEWSTEAD",-27.45131159022988,153.04598557420914,Loading Zone Passengers 2 Min. Max
5401,SN-10-1000-1282830,STAFFORD HEIGHTS,DETLING STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,0,2 MIN MAX,":8:00AM-9:00AM ,SCHOOLDAYS:2:30PM-3:30PM",000000000100325952,IE000000000100325952,43,0c5d07a6-faac-440c-8d58-3fcdbec85bc1,"{""coordinates"": [153.00690297255207, -27.39362907408785], ""type"": ""Point""}","-27.39362907408785, 153.00690297255207","S, STAFFORD HEIGHTS",-27.39362907408785,153.00690297255207,Loading Zone Passengers 2 Min. Max
5406,SN-10-1000-1231834,COORPAROO,BIRUBI STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100318263,IE000000000100318263,43,b25fe4bf-e612-4d0a-aaff-3fc3375e0d4d,"{""coordinates"": [153.05435893762666, -27.485126273630666], ""type"": ""Point""}","-27.485126273630666, 153.05435893762666","C, COORPAROO",-27.485126273630666,153.05435893762666,Loading Zone Passengers 2 Min. Max
5412,SN-20-1000-5001081,CHERMSIDE WEST,BALLINGER STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,0,2 MIN MAX,,000000000100437030,IE000000000100437030,43,ed61779e-5d29-4da2-9e7a-59fd5588f176,"{""coordinates"": [153.01873281865485, -27.38304748699983], ""type"": ""Point""}","-27.38304748699983, 153.01873281865485","C, CHERMSIDE WEST",-27.38304748699983,153.01873281865485,Loading Zone Passengers 2 Min. Max
5432,SN-10-1000-1162503,SOUTH BRISBANE,RUSSELL STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100318778,IE000000000100318778,43,7ae40eb2-853c-4cc7-a578-3d1f242abd73,"{""coordinates"": [153.01570353493025, -27.47793128621237], ""type"": ""Point""}","-27.47793128621237, 153.01570353493025","S, SOUTH BRISBANE",-27.47793128621237,153.01570353493025,Loading Zone Passengers 2 Min. Max
5472,SN-20-2000-2545056,WYNNUM,CAMERON PARADE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,1,2 MIN MAX,,000000000100431932,IE000000000100431932,43,9908f85e-c673-4eb8-b8f6-2e811cb77662,"{""coordinates"": [153.15830143885526, -27.43731948120958], ""type"": ""Point""}","-27.43731948120958, 153.15830143885526","W, WYNNUM",-27.43731948120958,153.15830143885526,Loading Zone Passengers 2 Min. Max
5474,SN-10-1000-1186286,BRISBANE CITY,MAKERSTON STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100319614,IE000000000100319614,45,79b69909-59d4-4aa0-9971-2a89c22e04ab,"{""coordinates"": [153.0182827741888, -27.46720489008799], ""type"": ""Point""}","-27.46720489008799, 153.0182827741888","B, BRISBANE CITY",-27.46720489008799,153.0182827741888,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5483,SN-20-2000-2427054,KANGAROO POINT,THORN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100431937,IE000000000100431937,45,56ff52c5-5c0a-4580-ae23-0313a7c06725,"{""coordinates"": [153.03999968077312, -27.476494736548876], ""type"": ""Point""}","-27.476494736548876, 153.03999968077312","K, KANGAROO POINT",-27.476494736548876,153.03999968077312,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5486,SN-10-1000-1201907,BULIMBA,WAMBOOL STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100319874,IE000000000100319874,45,5ea39014-84ea-41c1-9488-b49d7c4a83d9,"{""coordinates"": [153.05929763021754, -27.45108424998628], ""type"": ""Point""}","-27.45108424998628, 153.05929763021754","B, BULIMBA",-27.45108424998628,153.05929763021754,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5503,SN-30-1000-2254988,CARINDALE,BRIDGNORTH STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,1,,,000000000100466455,IE000000000100466455,43,03bb31b5-a8de-48c8-ab64-6d3d4f5f6a7a,"{""coordinates"": [153.11397307517805, -27.503877138466212], ""type"": ""Point""}","-27.503877138466212, 153.11397307517805","C, CARINDALE",-27.503877138466212,153.11397307517805,Loading Zone Passengers 2 Min. Max
5516,SN-10-1000-1184746,BRISBANE CITY,CHARLOTTE STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100313787,IE000000000100313787,45,25be1aff-793c-4b7f-885f-f9627ab40d86,"{""coordinates"": [153.02643489768295, -27.47132814660231], ""type"": ""Point""}","-27.47132814660231, 153.02643489768295","B, BRISBANE CITY",-27.47132814660231,153.02643489768295,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5580,SN-20-2000-2422835,NEWSTEAD,LEOPOLD STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100430438,IE000000000100430438,45,838dba35-d1ff-4372-a981-38655215f137,"{""coordinates"": [153.0416903657623, -27.45327188382395], ""type"": ""Point""}","-27.45327188382395, 153.0416903657623","N, NEWSTEAD",-27.45327188382395,153.0416903657623,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5582,SN-10-1000-1291675,FOREST LAKE,WOOGAROO STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100314373,IE000000000100314373,43,91fbfe60-e272-4f43-9360-bfedbe30b4df,"{""coordinates"": [152.95748254048146, -27.61295647611327], ""type"": ""Point""}","-27.61295647611327, 152.95748254048146","F, FOREST LAKE",-27.61295647611327,152.95748254048146,Loading Zone Passengers 2 Min. Max
5585,SN-10-1000-1298714,MORNINGSIDE,PASHEN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100314435,IE000000000100314435,43,45a51f81-8d9b-4307-bb66-80e06fb5a9f6,"{""coordinates"": [153.06732050482543, -27.464238876231757], ""type"": ""Point""}","-27.464238876231757, 153.06732050482543","M, MORNINGSIDE",-27.464238876231757,153.06732050482543,Loading Zone Passengers 2 Min. Max
5647,SN-10-1000-1307561,STAFFORD,WEBSTER ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PR,Right,0,1,0,2 MIN MAX,":7:00AM-9:00AM ,MON-FRI:2:00PM-4:00PM",000000000100315274,IE000000000100315274,43,fa580ee8-5359-4b8a-86a5-4b124795ae1b,"{""coordinates"": [153.01680620946868, -27.412231729062913], ""type"": ""Point""}","-27.412231729062913, 153.01680620946868","S, STAFFORD",-27.412231729062913,153.01680620946868,Loading Zone Passengers 2 Min. Max
5657,SN-10-1000-1183350,BRISBANE CITY,WHARF STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45EL,Left,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:9am-4pm,000000000100320324,IE000000000100320324,45,a5c19111-e9df-4722-855b-daea4be56013,"{""coordinates"": [153.02999394810521, -27.46549496698987], ""type"": ""Point""}","-27.46549496698987, 153.02999394810521","B, BRISBANE CITY",-27.46549496698987,153.02999394810521,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5663,SN-10-1000-1129658,SPRING HILL,LITTLE EDWARD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43EtR,Right,0,1,1,"2 MINS MAX,TOW AWAY",MON-FRI:9am-4pm,000000000100320386,IE000000000100320386,43,d463cb5f-75b8-4c46-8a2c-7686e5f2c5c5,"{""coordinates"": [153.02436742077495, -27.461897883721914], ""type"": ""Point""}","-27.461897883721914, 153.02436742077495","S, SPRING HILL",-27.461897883721914,153.02436742077495,Loading Zone Passengers 2 Min. Max
5667,SN-20-2000-2372396,FORTITUDE VALLEY,GIPPS STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100430678,IE000000000100430678,43,2b86bd10-9a44-41ea-af56-16ff59fa16fc,"{""coordinates"": [153.03089006997823, -27.45708477117546], ""type"": ""Point""}","-27.45708477117546, 153.03089006997823","F, FORTITUDE VALLEY",-27.45708477117546,153.03089006997823,Loading Zone Passengers 2 Min. Max
5689,SN-20-2000-2405858,YEERONGPILLY,FIG TREE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100431947,IE000000000100431947,43,6ca8e134-83b6-4055-8cec-60d4ca169581,"{""coordinates"": [153.01284377753353, -27.525224884667118], ""type"": ""Point""}","-27.525224884667118, 153.01284377753353","Y, YEERONGPILLY",-27.525224884667118,153.01284377753353,Loading Zone Passengers 2 Min. Max
5691,SN-20-2000-2426969,KANGAROO POINT,THORN STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100430786,IE000000000100430786,45,98b055de-6224-4c08-9c50-a7ecd0359662,"{""coordinates"": [153.0399096437923, -27.476576831235306], ""type"": ""Point""}","-27.476576831235306, 153.0399096437923","K, KANGAROO POINT",-27.476576831235306,153.0399096437923,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5697,SN-10-1000-1103259,KANGAROO POINT,SHAFSTON AVENUE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45R,Right,0,1,0,"2 MIN MAX,20 MINS MAX",,000000000100315799,IE000000000100315799,45,c1c8905a-79cd-406c-95b1-e6b72d21b12a,"{""coordinates"": [153.03940413072013, -27.47691199811772], ""type"": ""Point""}","-27.47691199811772, 153.03940413072013","K, KANGAROO POINT",-27.47691199811772,153.03940413072013,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
5731,SN-10-1000-1280807,THE GAP,KALOMA ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100316114,IE000000000100316114,43,726c3cfc-b6fc-4853-925c-cd7d45137418,"{""coordinates"": [152.9378184523403, -27.43654981740519], ""type"": ""Point""}","-27.43654981740519, 152.9378184523403","T, THE GAP",-27.43654981740519,152.9378184523403,Loading Zone Passengers 2 Min. Max
5741,SN-10-1000-1177942,SOUTH BRISBANE,GREY STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,1,2 MIN MAX,,000000000100321179,IE000000000100321179,43,6e0ab68e-7707-46a2-a415-ed45c37228c6,"{""coordinates"": [153.02028063030443, -27.47547239282056], ""type"": ""Point""}","-27.47547239282056, 153.02028063030443","S, SOUTH BRISBANE",-27.47547239282056,153.02028063030443,Loading Zone Passengers 2 Min. Max
5745,SN-10-1000-1201879,BULIMBA,OXFORD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,0,2 MIN MAX,,000000000100316262,IE000000000100316262,43,14ff9ab3-0647-4163-aa2b-59ee3486966c,"{""coordinates"": [153.05983168062687, -27.45138377509138], ""type"": ""Point""}","-27.45138377509138, 153.05983168062687","B, BULIMBA",-27.45138377509138,153.05983168062687,Loading Zone Passengers 2 Min. Max
5766,SN-10-1000-1072530,FORTITUDE VALLEY,SAINT PAULS TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ER,Right,0,1,1,"2 MIN MAX,20 MINS MAX",MON-FRI:9am-4pm,000000000100321460,IE000000000100321460,45,bd7427f4-7fc7-4a65-bd7e-eaedbd9bbe27,"{""coordinates"": [153.03012494636187, -27.45765247705936], ""type"": ""Point""}","-27.45765247705936, 153.03012494636187","F, FORTITUDE VALLEY",-27.45765247705936,153.03012494636187,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
